datetime,visibility
2025-10-28T12:00:00Z,8000
2025-10-29T02:00:00Z,9000
2025-10-29T05:00:00Z,8000
2025-10-29T06:00:00Z,8000
2025-10-29T07:00:00Z,7000
2025-10-29T08:00:00Z,6000
2025-10-29T08:26:00Z,4000
2025-10-29T09:00:00Z,4000
2025-10-29T10:00:00Z,4000
2025-10-29T11:00:00Z,5000
2025-10-29T12:00:00Z,5000
2025-10-29T13:00:00Z,6000
2025-10-29T14:00:00Z,8000
2025-10-29T15:00:00Z,9000
2025-10-29T16:00:00Z,9000
2025-10-29T17:00:00Z,9000
2025-10-30T17:00:00Z,3000
2025-10-30T17:44:00Z,3000
2025-10-30T18:00:00Z,8000
2025-10-30T19:00:00Z,8000
2025-10-30T20:00:00Z,4000
2025-10-30T20:18:00Z,3000
2025-10-30T23:00:00Z,8000
2025-10-31T00:00:00Z,8000
2025-10-31T01:00:00Z,8000
2025-10-31T02:00:00Z,8000
2025-10-31T03:00:00Z,8000
2025-10-31T04:00:00Z,9000
2025-10-31T05:00:00Z,8000
2025-10-31T05:15:00Z,3000
2025-10-31T06:00:00Z,2500
2025-10-31T07:00:00Z,8000
2025-10-31T08:00:00Z,8000
2025-10-31T09:00:00Z,9000
2025-10-31T10:00:00Z,8000
2025-10-31T14:00:00Z,8000
2025-10-31T14:23:00Z,9000
2025-10-31T15:00:00Z,5000
2025-10-31T16:00:00Z,9000
2025-10-31T17:00:00Z,8000
2025-11-02T16:00:00Z,8000
2025-11-02T16:26:00Z,3500
2025-11-02T17:00:00Z,4500
2025-11-02T18:00:00Z,5000
2025-11-02T19:00:00Z,4000
2025-11-02T20:00:00Z,4500
2025-11-02T21:00:00Z,3500
2025-11-02T22:00:00Z,4500
2025-11-02T23:00:00Z,8000
2025-11-03T01:00:00Z,8000
2025-11-03T04:00:00Z,8000
2025-11-03T07:00:00Z,8000
2025-11-03T11:00:00Z,9000
2025-11-03T12:00:00Z,9000
2025-11-03T19:00:00Z,6000
2025-11-04T01:00:00Z,8000
2025-11-04T02:00:00Z,8000
2025-11-04T04:00:00Z,8000
2025-11-04T05:00:00Z,8000
2025-11-04T06:00:00Z,8000
2025-11-04T11:00:00Z,6000
2025-11-04T18:00:00Z,6000
2025-11-04T19:00:00Z,6000
